,YTN,KBS,SBS
240219,"1번 :bhc, '반값' 브라질산 닭고기로 바꾸더니...메뉴 가격 인상
2번 :[오만정] 정성호 ""내가 이재명의 최순실?""...한동훈보다 지지율이 낮은 이유
3번 :[속보] 정부, 의협지도부 2명에 면허정지 행정처분 사전통지서 발송","1번 :“살다 살다 처음 본다”…출근길에 만난 사설 구급차 [잇슈 키워드]
2번 :서 있는 배 때린 ‘바다수리’…발사 장소는 ‘선덕비행장’
3번 :갈매기 뱃속에서 발견된 ‘이것’…묻지마 살생 멈출 수 없나","1번 :""공사 취소됐어요""…""입주 어떻게 해요"" 기다렸는데 황당
2번 :[영상] ""이게 회의냐!"" 자리 박차고 나온 이낙연계…'개혁신당 내분'에 한동훈 ""돈 때문에 위장 결혼""
3번 :[자막뉴스] 반값 브라질산으로 바꾸고…치킨값 올린 이 브랜드"
240220,"1번 :""진실 들려드리고파""...메시, 중국 친선경기 취소되자 또 해명
2번 :""이강인 PSG서 방출, FIFA 이적 금지""…유튜브 가짜뉴스 주의보
3번 :[날씨] CCTV로 본 대설...내일 출·퇴근길 서울에도 눈","1번 :“관측 이래 처음” 2개월 늦춰진 호주 홍게 대이동…원인은? [잇슈 SNS]
2번 :한국인 관광객 내쫓은 일본 호텔…이유 들어보니 [잇슈 키워드]
3번 :차에 치여 7.3km 끌려간 50대 여성 숨져","1번 :""10년째 내 집인데 느닷없이 쫓겨날 판""…무슨 땅이길래
2번 :[Pick] ""일본어 모르면 나가""…한국인 숙박 거부한 日 호텔, 결국 사과
3번 :[뉴블더] 사장 몰래 배달 취소 239번…20대 알바생 최후는"
240221,"1번 :""모두 불태워라!"" 우크라군 지옥의 철수...""러군 만7천명 사망""
2번 :손흥민 ""나도 어릴 때 실수 많이 해...강인이 한 번만 용서해 주길""
3번 :푸틴의 새로운 연인, 32세 연하 '검열의 여왕'","1번 :“14바늘 꿰맸습니다”…만 6천 원짜리 부츠에 ‘봉변’ [잇슈 키워드]
2번 :시드니 한인 태권도장 등에서 일가족 3명 숨진 채 발견
3번 :지역구·비례 후보 정당 지지율 ‘오차범위 내’ 초접전 [D-50 여론조사]","1번 :36개국에 '한글 코카콜라' 출시…""130년 역사상 첫 사례""
2번 :이강인, 런던 찾아 손흥민에 사과…""절대로 해선 안될 행동했다""
3번 :[뉴블더] ""처벌해 주세요"" 했다가 살해당한 여성…가해자 징역 15년"
240222,"1번 :[오만정] 이재명 대표에 오만정 떨어진 이유...바로 이 '단어' 때문
2번 :지난 총선 때 민주당 지원했던 이천수 이번엔 국민의힘 지원
3번 :해운대 엘시티서 낙하산 타고 뛰어내린 외국인 정체 밝혀졌다","1번 :현대차 눈물의 ‘떨이’…14만 원에 공장 던진 사연 [뉴스in뉴스]
2번 :“청소하는 아줌마예요”…뷔페 복도에 붙은 자필 글 [잇슈 키워드]
3번 :“14바늘 꿰맸습니다”…만 6천 원짜리 부츠에 ‘봉변’ [잇슈 키워드]","1번 :지구대 앞 서성인 두 소녀, 고민하다 경찰관에 건넨 선물
2번 :[뉴스딱] ""사고 났는데 사람 안 보여"" 신고…50분 뒤 숨진 채 발견
3번 :[스브스픽] 새벽 3시에 차 빼라는 방송에 나갔더니…""돌덩이 폭격"""
240223,"1번 :작곡가 '신사동호랭이' 작업실에서 숨진 채 발견...""범죄 혐의점 없어""
2번 :""교통사고 당한 프로게이머 류제홍, 의사 없어 8시간 방치돼""
3번 :오타니도 못 피한 '투명 바지'…MLB 새 유니폼에 불만 쇄도","1번 :유명 작곡가 신사동호랭이 숨진 채 발견
2번 :“8백만 원 맞죠?”…현찰 세던 두 청년의 정체 [잇슈 키워드]
3번 :현대차 눈물의 ‘떨이’…14만 원에 공장 던진 사연 [뉴스in뉴스]","1번 :110만 원 쓰고 100원짜리 받았다…속 터지는 알리 환불
2번 :'위아래' '롤리폴리' 유명 작곡가 신사동호랭이 사망
3번 :""청소하는 아줌마예요"" 또박또박 쓴 안내문…""이렇게 해보세요"""
240224,"1번 :[오만정] 박용진 ""나보다 민주당이 더 걱정""...2012년 총선 패배 재현?
2번 :'값싼 의사'로 자리매김한 전공의...의료대란 더 키웠다
3번 :작곡가 '신사동호랭이' 작업실에서 숨진 채 발견...""범죄 혐의점 없어""","1번 :부모보다 빨리 늙는 3040…재테크 말고 근테크 하라! [뉴스in뉴스]
2번 :세월호 참사 잊었나…컨테이너 고정 않고 운항 화물선 적발
3번 :“내가 골프 20년 쳤는데”…프로골퍼한테 스윙 지적을? [현장영상]","1번 :""기자님 집도 혹시 몰라요""…내 등기부등본도 불안해졌다 [취재파일]
2번 :재개발 신축 아파트 밤낮 주차난…'조합원 동' 가니 텅텅
3번 :이름 옆에 '학습부진 · 분리불안'…반 배정 안내문 '경악'"
240225,"1번 :[속보] 경부고속도로서 관광버스 사고...2명 사망 등 5명 사상
2번 :나발니 시신, 8일 만에 인계...""푸틴, 죽은 남편까지 고문""
3번 :""환자방 머물며 항암 치료""...애타는 암투병 환자들","1번 :1년 전 “토끼에 물렸어요”가 ‘지난달’로…오보 쏟아낸 ‘받아쓰기’
2번 :창원서 70대 형수·60대 시동생 숨진채 발견…경찰 수사
3번 :“1년에 3일 쉬고 일하는데 월급은 13만 원?”","1번 :[취재파일] ""치킨집 하지 말라""는 치킨집 사장님의 속사정
2번 :오피스텔 옥상서 40분 간격 투신 시도…""연인과 헤어져서""
3번 :[씨네멘터리] ""파묘"", 험한 것을 '꺼내놓은' 감독의 선택"
240226,"1번 :국내 치킨 브랜드, 미국 음식전문매체 '최고의 치킨'에 선정
2번 :바다 아닌 한강에도 '독도' 있다…옛 문헌서 깜짝 발견
3번 :병역 미필 전공의, 퇴직 처리되면 내년 3월 군대 간다","1번 :“5분 탄 신차서 불”…제조사는 말도 없이 환불? [잇슈 키워드]
2번 :“이재명이 몰랐다고? 거짓말!”…‘판사 출신’ 이수진이 본 백현동 판결문
3번 :국민의힘, 권성동·조지연 단수공천…이원모 용인갑 전략공천","1번 :""여섯 동생 밥 챙기려다가…"" 경찰서 찾아간 고교생 사연
2번 :""수리 맡긴 전기차 돌려받고 깜짝"" 블랙박스 돌려 봤더니
3번 :병역 미필 전공의들 퇴직 처리되면 내년 3월에 입대한다"
